video_id,title,views,likes,comments
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,2693263,26973,640
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),6533427,27561,767
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,59236291,1040751,42699
gGw36otjMUw,AVATAR 2 In English ( Full Movie),316313,1172,16
fbgbKYeVfmU,AVATAR 2 : Making of Kissing Scene of Avatar Movie | Full Video in Details,234271,1367,72
X8SVkfbt8cs,Avatar: The Way of Water,,22626,1833
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),2066854,24429,1113
L2d3SocB7as,Avatar: The Way of Water (2022) - Neteyam death,456985,,529
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2747547,20201,638
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),4763270,33534,741
RNj2cH5yjNA,AVATAR Full Movie 2024: Pandora World | Superhero FXL Action Movies 2024 in English (Game Movie),10640364,65207,1065
Mw192fc8LsQ,Lo&#39;ak &amp; Tsireya - The Way of Water,7007762,32787,329
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),462430,5248,206
V67Ytgs6KJo,Avatar: First Movie RECAP,642791,10782,327
sV91xFKGHt8,[4K60FPS] AVATAR: 2 War Action Scene Final Battle - The Way of Water: Hollywood Movie Review - IMAX,3560988,17547,181
#NAME?,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),1377202,10870,591
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),904238,8259,347
Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),2921296,14030,176
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),344241,4310,93
YXtWPVFk5TQ,Avatar 3  Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,4154784,44020,1563
pdVJMkMxDJM,Avatar 2&#39;s next-level mo-cap #avatar #avatarthewayofwater #behindthescenes #shorts,3519401,141088,333
KDqaLSK_tlI,AVATAR: Characters Real Life Height’s,2797868,82983,1022
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,28306747,681687,28933
icSwa8zgCEA,Avatar - Jake marries Neytiri,835510,10232,869
__QTN4cJfG8,This scene🤍 #avatar #avatar2 #avatarthewayofwater #loak #tsireya #kiri #tuktirey #neteyam #aonung,2108101,135245,579
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,625110,33914,5206
SCAiHCvNKhM,Did You Notice This in AVATAR? #shorts,2458018,188894,676
6BiKGZMCLf0,8K HDR | Jake&#39;s First Flight - Avatar | Dolby 5.1,1286141,5108,63
2VRTlTVGk0k,avatar edit #shorts,2076344,163753,511
bDHD1ueL4a4,The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Lyric Video),30959748,657160,9733
o5j95Kxddy4,Who&#39;ll Lead the Fire Na&#39;vi in Avatar 3? #shorts,392806,14047,170
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,3135449,53434,1763
alpkVUKirHI,AVATAR 2 MOVIE CAST #shorts #avatar2,3534277,109156,101
Q7UwGaom0XA,"360°VR 3D 4K | Avatar Movie scenes in VR | Underwater Pandora, Come across Na&#39;vi, Tree of Sound",163653,683,9
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),1293942,9091,338
Cimy6T1nczw,Avatar Scenes Without CGI,16495602,121477,1612
vs_HaJ4HnBU,the first scene is sadly deleted from Avatar 2 😩 #avatarthewayofwater #jakesully #neteyam #neytiri,2241139,104613,380
Z5u4fqNIo74,Now you’re in the stars🤍 #avatar #avatar2 #avatarthewayofwater #neteyam,1043808,91251,1500
doDrnJkgf-s,Zoe Saldana Emotional Avatar Scene Behind The Scenes #shorts,15958317,1236225,5099
cN0kUKNBfxE,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,3400868,28680,661
jjTcwepXrO8,AVATAR 3 - Teaser Trailer (2024) The  Seed Bearer  | 20th Century Studios |  Disney+,3059838,31230,1467
CyUXe8xAx9U,Did you spot this in AVATAR: THE WAY OF WATER,363946,32316,430
20S5MAf6h6k,New scene added to Avatar remastered,755461,11062,617
x_qm280q2e0,Making Of AVATAR: THE WAY OF WATER - Best Of Behind The Scenes &amp; Visual Effects With James Cameron,4387568,75154,1582
hYWTPmmIdFA,When AVATAR 3 is coming out &amp; the NOTES Executives gave James Cameron for ALL AVATAR SEQUELS,232516,12961,322
m-aWi-Qv5Tg,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,1188605,78940,816
mRrKdgpZ6kE,AGAINST JAKE..!??😲😲 | AVATAR 3 #shorts #avatar,3683351,,2300
f5Zx8iPek5I,Avatar 3 Will Introduce The Dark Side🔥 Of Na&#39;vi…!?😮,8131313,366276,4050
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,33958195,197924,3823
3y8a_TFL_KQ,AVATAR Full Movie 2024: The Way of Na&#39;vi | Final Battle of Pandora | FullHDvideos4me (Game Movie),2982072,11425,119
